name,address,city,state,zip,note
"BIZMAVEN, LLC",,,,,"TODO verify — 13 rows; donors: DC:13; old AI guess (untrusted): 600 W Chicago Ave, IL"
AMATUS MANAGEMENT,,,,,"TODO verify — 12 rows; donors: VA:12; old AI guess (untrusted): 10461 Mill Run Cir Ste 620, MD"
STANDARD EQUITY GROUP,,,,,"TODO verify — 9 rows; donors: PA:9; old AI guess (untrusted): 1 Harborview Plz, Suite 101, NY"
KONA ADVISORS LLC,,,,,"TODO verify — 8 rows; donors: IL:8; old AI guess (untrusted): 55 West 46th Street, NY"
MENTO,,,,,"TODO verify — 7 rows; donors: CA:6; CO:1; old AI guess (untrusted): 300 Park Ave, NY"
LASZLO STRATEGIES,,,,,"TODO verify — 6 rows; donors: MD:6; old AI guess (untrusted): 1201 Connecticut Ave NW, Suite 500, DC"
MARC ADAM & COMPANY,,,,,"TODO verify — 5 rows; donors: CA:5; old AI guess (untrusted): 116 E 27th St, 8th Floor, NY"
REVEDGE ANALYTICS,,,,,"TODO verify — 4 rows; donors: GA:4; old AI guess (untrusted): 201 Mission St, CA"
MERIDIAN,,,,,"TODO verify — 4 rows; donors: NY:2; MD:2; old AI guess (untrusted): 2750 E Cotton Center Blvd, Suite 112, AZ"
ICOS INC,,,,,"TODO verify — 4 rows; donors: NJ:4; old AI guess (untrusted): 10425 Science Center Dr, CA"
CORO GROUP,,,,,"TODO verify — 3 rows; donors: TX:3; old AI guess (untrusted): 250 Park Avenue South, NY"
GS HOLDINGS,,,,,"TODO verify — 3 rows; donors: CA:3; old AI guess (untrusted): 200 West Street, NY"
INFOSEC LABS,,,,,"TODO verify — 3 rows; donors: TX:3; old AI guess (untrusted): 525 Washington Blvd, NJ"
SHANNON RUSSO INTERIORS,,,,,"TODO verify — 3 rows; donors: NJ:3; old AI guess (untrusted): 45 West 27th St, 6th Fl, NY"
WHITE LAKE REAL ESTATE CAPITAL LLC,,,,,"TODO verify — 3 rows; donors: CT:3; old AI guess (untrusted): 1840 Century Park East, Suite 1200, CA"
MCO,,,,,"TODO verify — 3 rows; donors: PA:2; NJ:1; old AI guess (untrusted): 3400 South West 145th Avenue, FL"
AVIV GROWTH PARTNERS,,,,,"TODO verify — 2 rows; donors: MA:2; old AI guess (untrusted): 1209 Orange St, DE"
BOYLSTON DEVELOPMENT CORPORATION,,,,,"TODO verify — 2 rows; donors: AZ:2; old AI guess (untrusted): 100 Federal Street, 28th Floor, MA"
CEDAR ASSET MANAGEMENT,,,,,"TODO verify — 2 rows; donors: NJ:2; old AI guess (untrusted): 280 Park Ave, NY"
EMPIRE BRANDS,,,,,"TODO verify — 2 rows; donors: NJ:2; old AI guess (untrusted): 1000 S. Wadsworth Blvd., Suite 400, CO"
HILLSON GLOBAL STRATEGIES,,,,,"TODO verify — 2 rows; donors: SC:2; old AI guess (untrusted): 1209 Orange Street, DE"
ECA FUND ADVISORS,,,,,"TODO verify — 2 rows; donors: CA:2; old AI guess (untrusted): 3030 LBJ Freeway, Suite 1250, TX"
NEXT TERRA CAPITAL,,,,,"TODO verify — 2 rows; donors: FL:2; old AI guess (untrusted): 40 Wall St, 28th Floor, NY"
SEMPRE CAPITAL,,,,,"TODO verify — 2 rows; donors: MI:2; old AI guess (untrusted): 750 Lexington Ave, 14th Floor, NY"
ROSENBERG AUTOMOTIVE HOLDINGS,,,,,"TODO verify — 2 rows; donors: MA:2; old AI guess (untrusted): 6600 N Scottsdale Rd, Suite 200, AZ"
STAR CAPITAL PARTNERS,,,,,"TODO verify — 2 rows; donors: OH:2; old AI guess (untrusted): 70 E 55th St, Suite 1206, NY"
SMI,,,,,"TODO verify — 2 rows; donors: CA:2; old AI guess (untrusted): 3000 Continental Drive, Suite 200, PA"
THREATCURVE,,,,,"TODO verify — 2 rows; donors: CA:2; old AI guess (untrusted): 1250 S Capital of Texas Hwy, TX"
"ARLEMARK, INC",,,,,"TODO verify — 2 rows; donors: CA:2; old AI guess (untrusted): 510 N. Valley Forge Road, Suite 300, PA"
FAUVER ATTORNEYS & COUNSELORS AT LAW,,,,,"TODO verify — 2 rows; donors: VA:2; old AI guess (untrusted): 214 W 7th St, MN"
"LIGHT VERDE, LLC",,,,,"TODO verify — 2 rows; donors: VA:2; old AI guess (untrusted): 2112 5th Avenue, Suite 200, CA"
OSPREY TRANSFORMATIVE DEVELOPMENT LLC,,,,,"TODO verify — 2 rows; donors: NJ:2; old AI guess (untrusted): 111 N Market St, DE"
STUDIO LEVANA LTD,,,,,"TODO verify — 2 rows; donors: NJ:2; old AI guess (untrusted): 30 East 33rd St, 6th Floor, NY"
