name,address,city,state,zip,is_primary,note,source_name,source_url
ALLIED UNIVERSAL CORP,3901 NW 115th Avenue,Miami,FL,33178,true,Official Allied Universal chemical company headquarters and Florida corporation principal address; unrelated to Allied Universal security,search.sunbiz.org,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?aggregateId=domp-183054-d71c24b8-e9d2-4bf1-830c-5d74c4ea3d91&directionType=Initial&inquirytype=EntityName&searchNameOrder=ALLIEDUNIVERSAL+1830541
GREGLEVINE.COM INC,1139 Washington Street,Hollywood,FL,33019,true,Florida Division of Corporations P24000002093; active corporation and principal address,search.sunbiz.org,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?Detail=FL.DOS.Corporations.Shared.Contracts.FilingRecord&InquiryDirectionType=ForwardRecord&InquiryType=EntityName&ListNameOrder=GREGLASCHPLASTERING+P960001043680&SearchNameOrder=GREGLES+L200003866420&SearchTerm=C%2FO+GREG+KILLEEN
THE PERMANENTE MEDICAL GROUP,"1800 Harrison Street, 7th Floor",Oakland,CA,94612,true,Official Permanente physician-recruitment material lists the corporate address and Oakland headquarters,webfiles.gi.org,https://webfiles.gi.org/docs/about/ACG2022_ExhibitMeeting_Guide.pdf
THE PERMANENTE MEDICAL GROUP,97 San Marin Drive,Novato,CA,94945,false,Official Kaiser Novato Medical Offices address; physician directories place Michael Ira Harris MD in pediatrics at this office,doctor.webmd.com,https://doctor.webmd.com/practice/the-permanente-medical-group-inc-novato-medical-of-c85312c9-4703-e211-a42b-001f29e3eb44
"EDMUNDS.COM, INC.","2401 Colorado Avenue, Suite 400",Santa Monica,CA,90404,true,"HQ verified — Edmunds.com, Inc. (owned by CarMax since 2021)",casedocs.omniagentsolutions.com,https://casedocs.omniagentsolutions.com/cmsvol2/pub_47491/9efcfe29-5fab-460a-ab37-601126799646_182.pdf
VECTOR CAPITAL,"650 California Street, 32nd Floor",San Francisco,CA,94108,true,Per Contact page,vectorcapital.com,https://www.vectorcapital.com/contact-us
CRICUT,10855 S River Front Pkwy,South Jordan,UT,84095,true,Official corporate address,investor.cricut.com,https://investor.cricut.com/
JAMESTOWN,"675 Ponce de Leon Avenue NE, 7th Floor",Atlanta,GA,30308,true,Jamestown LP — Ponce City Market,ecorp.sos.ga.gov,https://ecorp.sos.ga.gov/BusinessSearch/BusinessInformation?businessId=1522628&businessType=Domestic+Limited+Partnership&fromSearch=True
SMILE DIRECT CLUB,414 Union Street,Nashville,TN,37219,true,"Historical HQ (company defunct, per AP News)",ethics.state.tx.us,https://ethics.state.tx.us/data/search/lobby/2023/2023LobbyGroupByLobbyist.pdf
CIRCLE K,1130 W Warner Road,Tempe,AZ,85284,true,Corporate Office USA,bbb.org,https://www.bbb.org/us/az/tempe/profile/grocery-store/circle-k-stores-inc-1126-27004515
FOLEY & LARDNER LLP,777 East Wisconsin Avenue,Milwaukee,WI,53202,true,Main HQ — Milwaukee office (largest),foley.com,https://www.foley.com/office/milwaukee/
GELLER AND COMPANY,909 Third Avenue,New York,NY,10022,true,"HIGH — Bloomberg's accounting/finance firm, NYC",abo.ny.gov,https://abo.ny.gov/annualreports/PARISProcurement%20Reports/FYE2016/LDC/PRNYCEDC2016.pdf
DAVIS POLK & WARDWELL LLP,450 Lexington Avenue,New York,NY,10017,true,"HIGH — major NYC law firm, Midtown HQ",bizprofile.net,https://www.bizprofile.net/ny/new-york/davis-polk-wardwell-llp
STERLINGRISK,135 Crossways Park Drive,Woodbury,NY,11797,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,bbb.org,https://www.bbb.org/us/ny/woodbury/profile/insurance-agent/sterlingrisk-0121-128298
RADCO,"3560 Lenox Road, Suite 2625",Atlanta,GA,30326,true,HIGH (VERIFIED) - 2026 state filing confirms the current principal and mailing address; rechecked 2026-08-19,Florida Division of Corporations,https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?aggregateId=forp-f12000000993-b30f42a8-5aeb-462c-b376-170850130a36&directionType=Initial&inquirytype=EntityName&listNameOrder=RADCOM+3915470&searchNameOrder=RADCOMANAGEMENT+F120000009930&searchTerm=RAD-COM%2C+INC.
BASSUK ORGANIZATION,"The Towers, 111 Great Neck Road",Great Neck,NY,11021,true,HIGH (VERIFIED) - current New York registry-derived record identifies Richard Bassuk and this principal address; rechecked 2026-08-19,New York business record,https://www.bizprofile.net/ny/great-neck/the-bassuk-organization-inc
BBR PARTNERS,"55 East 52nd Street, 18th Floor",New York,NY,10055,true,HIGH (VERIFIED) - current New York office replaced the 140 East 45th Street address used before January 2021; rechecked 2026-08-19,bbrpartners.com,https://www.bbrpartners.com/contact/
DEEP TRACK CAPITAL,200 Greenwich Avenue,Greenwich,CT,06830,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,sec.gov,https://www.sec.gov/edgar/browse/?CIK=0001856083
HOWARD PROPERTIES,355 Hayes Street,San Francisco,CA,94102,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,bizprofile.net,https://www.bizprofile.net/ca/san-francisco/howard-properties
BRODIE GENERATIONAL CAPITAL PARTNERS,"150 N. Radnor Chester Road, Suite F100",Radnor,PA,19087,true,Official contact page lists this address.,bgencap.com,https://bgencap.com/
MATCHMASTER,3750 S. Broadway Pl,Los Angeles,CA,90007,true,Official Antex/Matchmaster contact page lists this postal address.,uspto.report,https://uspto.report/TM/76647268
GLEN UNA INVESTMENTS,"51 University Avenue, Suite G",Los Gatos,CA,95030,true,"HIGH (verified) — Glen Una Management Company / Glen Una Investments (Levy Family Trust vehicle); Kenneth + Mark + Gloria Levy; RE management + investments; ""GLEN UNA MGMT"" / ""GLEN UNA DR"" / ""GLEN UNA MANAGEMENT"" all merged into this canonical",financialreports.eu,https://financialreports.eu/filings/composecure-inc/prospectus/2026/13299588/
TASTY BRANDS,"6800 Jericho Turnpike, Suite 100E",Syosset,NY,11791,true,Official contact page lists this address.,cdn.ymaws.com,https://cdn.ymaws.com/snact.org/resource/collection/05DF0B37-6F15-4BF5-89F8-AD06C006DF86/Tasty_Brands_53206_10-22-2019_WG_IW_PizzaBoli.pdf
