rid,employer_name,verdict,organisation,address,city,state,zip,source_name,source_url,note
1,01 ADVISORS,corrected,"01 Advisors (01A), venture firm",415 Jackson Street,SAN FRANCISCO,CA,94111,01A official website,https://www.01a.com/,"The donor is a general partner at 01A. The firm lists its San Francisco HQ at 415 Jackson and a New York office at 817 Broadway, so the published Letterman Dr address is outdated, and with no Colorado office the HQ is used."
2,1826 GROUP,home_based,1826 Group (private Aventura entity; previous employer of a retired donor),,AVENTURA,FL,33180,Published address is a unit in a residential condominium tower,,"The published street is a condo unit in a residential high-rise, not an office, and no public office exists, so only the city is kept."
3,19 ENTERPRISES LLC,not_found,"19 Enterprises LLC (Nevada LLC, Las Vegas)",,,,,Nevada Campaign Contributions company page,https://nevadacampaigncontributions.com/companies/433993-19-enterprises-llc.html,The published Latham NY address belongs to an unrelated IT consulting firm called 19-Enterprises LLC. The donor's entity is a Las Vegas holding LLC (NV reg. E0392152015-1) with no public office address.
4,1901 PARTNERS,not_found,"1901 Partners Management, LP (energy private equity)",,,,,SEC IAPD firm record CRD 173444,https://adviserinfo.sec.gov/firm/summary/173444,"The firm ended its SEC registration in 2023 and withdrew as an exempt reporting adviser in Dec 2023. Its last filing gives an appointment-only Southlake TX office with no public street, so the 750 Third Ave NYC office is outdated."
5,21CFI,not_found,21cfi (small private Bay Area entity; not 21st Century Fox),,,,,No reliable source,,"The published 1211 Ave of the Americas address is the former 21st Century Fox/News Corp HQ, which does not fit a 2026 Santa Clara engineer. 21cfi turns up only as a private investment name in Sunnyvale with no public office."
6,30 POINT STRATEGIES,home_based,30 Point Strategies LLC (content/communications agency),,ATLANTA,GA,30312,Yahoo Local listing; 30 Point website team page,https://local.yahoo.com/info-13691728-30-point-strategies-atlanta/,"The donor is a founding partner, but the firm's site lists no office. The only address, 659 Auburn Ave NE #232, is a unit in the Studioplex residential live/work lofts (D&B lists it as APT 232)."
7,3I FUND,correct,"3i Fund (3i Management LLC / 3i, LP)","2 Wooster Street, 2nd Floor",NEW YORK,NY,10013,3i Fund official website,https://3ifund.com/,"The donor is a partner and portfolio manager at 3i Fund. The official site and a Dec 2025 contract both give 2 Wooster St, 2nd Floor."
8,7 STAR CONSTRUCTION COMPANY,home_based,7 Star Construction Company (Houston remodeling contractor),,HOUSTON,TX,77002,BBB business profile,https://www.bbb.org/us/tx/houston/profile/remodeling/7-star-construction-company-0915-22011812,"BBB names the donor as owner of this small Houston contractor and gives no street, only Houston TX 77002. The published Rock Hill SC PO box belongs to a different company."
9,7RIDGE,correct,"7RIDGE (private markets asset manager), New York office",405 Lexington Avenue,NEW YORK,NY,10174,7RIDGE official website,https://7ridge.com/,"The donor is a managing director at 7RIDGE. The official site lists the New York office in the Chrysler Building, 405 Lexington Avenue, NY 10174."
10,9 MUSES ART CORP,home_based,9 Muses Art Corp (art advisory),,NEW YORK,NY,10001,NY DOS record via OpenGovNY (DOS #4672903),https://opengovny.com/corporation/4672903,"The state registry location is an apartment unit (Apt 47D), a small art advisory run from a residence. Only the city is kept."
11,A PRIORI,corrected,A Priori Investment Management LLC (Greenwich quant fund),"3 Pickwick Plaza, Suite 302",GREENWICH,CT,06830,"SEC Form D (Havemeyer Place LP, May 2026)",https://www.sec.gov/Archives/edgar/data/2026128/000131586326000433/primary_doc.xml,"The published Concord MA address is aPriori Technologies, a different company. The donors are A Priori Investment Management executives, and its 2026 SEC Form D gives 3 Pickwick Plaza, Suite 302."
12,A&W TECH CONSULTING,home_based,A&W Technical Consulting LLC (small IT consultancy),,SAN ANTONIO,TX,78258,US Small Business Chamber listing,http://www.ussbchamber.org/aw-technical-consulting-llc/,"The firm's only listed address is a single-family house in a residential cove, so only the city is kept. It is the previous employer of a retired donor."
13,AARA,corrected,American Arthritis & Rheumatology Associates (AARA),"2255 Glades Road, Suite 228W",BOCA RATON,FL,33431,CMS NPI Registry (AARA entities),https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=american%20arthritis*&state=FL&limit=50,"AARA is a rheumatology group, not the published Piscataway NJ office. The donor practised at its Boca Raton site (2900 N Military Trl) before retiring, and every AARA entity uses 2255 Glades Rd Ste 228W, Boca Raton as its central office."
14,ABC SALES & MARKETING,home_based,"ABC Sales & Marketing, Inc. (Weston FL marketing consultancy)",,WESTON,FL,33326,Florida Sunbiz entity record P02000114455,https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?inquirytype=EntityName&directionType=ForwardList&searchNameOrder=ABCSALESMARKETING+P020001144550&aggregateId=domp-p02000114455-099585ff-b3b1-4ca0-bc08-f9880030a234&searchTerm=ABC+SCHOOL+BUS+TRANSPORTATION+INC&listNameOrder=ABCSALES+5463490,The donor is president of a small Weston FL corporation whose principal address is on a residential street. The published Mesa AZ address belongs to a different business.
15,AC DISASTER CONSULTING,correct,"AC Disaster Consulting LLC (emergency management firm, Denver HQ)","1800 Glenarm Place, Suite 300",DENVER,CO,80202,SAM.gov registration via SAMClerk,https://samclerk.com/entity/EB5D6BDAC996491,"The active SAM registration (renewed Jul 2026) gives 1800 Glenarm Pl Ste 300, Denver, and the firm's site says it is headquartered in Denver. It has no Florida office address."
16,ACCESS ENTERTAINMENT,correct,"Access Entertainment, a division of Access Industries",40 West 57th Street,NEW YORK,NY,10019,Access Industries contact page,https://www.accessindustries.com/contact/,"Access Entertainment is part of Access Industries, whose only US office is 40 West 57th Street, NY 10019. The site gives no floor and no Los Angeles office."
17,ACCIN OPPORTUNITY FUND,correct,Accion Opportunity Fund,"111 W. St. John Street, Suite 800",SAN JOSE,CA,95113,Accion Opportunity Fund contact page,https://aofund.org/contact/,"The misspelled employer is Accion Opportunity Fund. Its official contact page still lists 111 W. St. John Street, Suite 800, San Jose, and it has no Colorado office."
18,ACCOUNTNET INC,corrected,"Accountnet, Inc. (Microsoft Dynamics reseller)","31 West 34th Street, 8th Floor",NEW YORK,NY,10001,Accountnet official website,https://accountnet.com/,"The donor is a senior Dynamics consultant at Accountnet. Its site (2024-2025 events) holds meetings at 'Accountnet - Customer Briefing Center, 31 West 34th Street, 8th Floor', while 1333 Broadway Ste 303 is the 1996 registration address."
19,ACE GUARANTY RE,correct,Assured Guaranty Inc. (formerly ACE Guaranty Re Inc. / ACE Guaranty Corp.),1633 Broadway,NEW YORK,NY,10019,Assured Guaranty contact page,https://assuredguaranty.com/contact,ACE Guaranty Re Inc. was renamed ACE Guaranty Corp. in 2002 and Assured Guaranty Corp. in 2004. The successor's US office is 1633 Broadway (previous employer of a retired donor).
20,ACHIEVE BEHAVIORAL HEALTH,correct,Achieve Behavioral Health (Rockland County CCBHC),"25 Robert Pitt Drive, Suite 101",MONSEY,NY,10952,Achieve Behavioral Health official website,https://achievebh.org/,"One donor is listed as working at Achieve Behavioral Health. Its main site is 25 Robert Pitt Drive, Suite 101, Monsey, and all its sites are in New York, none in New Jersey."
21,ACP,corrected,"AdvantageCare Physicians (ACPNY), Valley Stream Medical Office",260 W. Sunrise Hwy,VALLEY STREAM,NY,11581,ACPNY location page; CMS NPI record,https://www.acpny.com/find-a-provider/locations/valley-stream-medical-office,"The published address is the American College of Physicians, a membership body. The physician's NPI record points to AdvantageCare Physicians (mail to its 55 Water St office) and practice at its Valley Stream Medical Office."
22,ACPOWERS LLC,home_based,ACPOWERS LLC (government affairs consultancy),,CLEVELAND HEIGHTS,OH,44118,Ohio SOS record via Bizapedia,https://www.bizapedia.com/oh/acpowers-llc.html,This founder-run consultancy's only registered address is an apartment in Cleveland Heights OH. The published 915 Broadway NYC suite is unrelated.
23,ACRISURE,correct,"Acrisure, LLC (insurance brokerage HQ)",100 Ottawa Ave SW,GRAND RAPIDS,MI,49503,Acrisure legal notice page,https://www.acrisure.com/legal,"Acrisure's legal notice gives Acrisure, LLC, 100 Ottawa Ave SW, Grand Rapids. The donors are brokers in several states, so the HQ fits best."
24,ACXION FOODSERVICE,corrected,Acxion Foodservice (foodservice sales agency),"510 McCormick Drive, Suite S",GLEN BURNIE,MD,21061,Acxion Foodservice contact page,https://www.acxion.com/contact,"Acxion's site now lists its only address as 510 McCormick Drive, Suite S, Glen Burnie, replacing the Odenton address. No Illinois office is published."
25,ADA,corrected,"Advanced Dermatology Associates, Ltd. (Allentown PA)","1259 S Cedar Crest Blvd, Suite 100",ALLENTOWN,PA,18103,CMS NPI Registry (physician and practice),https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=advanced%20dermatology%20associates*&state=PA&limit=20,"The physician's NPI practice location is Advanced Dermatology Associates, Ltd. at 1259 S Cedar Crest Blvd Ste 100, Allentown. The published Chicago address belongs to an unrelated 'ADA'."
26,ADDITION MANAGEMENT LLC,corrected,Addition Management LLC (accounting/finance recruiting firm),469 Seventh Avenue,NEW YORK,NY,10018,"TapTalent agency profile (firm site lists only New York, NY and Tampa, FL)",https://taptalent.ai/recruitment-agencies/addition-management-recruitment-agency-profile/,"The street is right, but 469 Seventh Avenue is in ZIP 10018, not 10022. The firm's own site names New York and Tampa offices without streets, so this rests on a directory."
27,ADELPHI CAPITAL,ambiguous,Adelphi Capital (unresolved),,,,,No decisive source,,"This is a retired donor's previous employer. Candidates are Adelphi Capital LLP (London hedge fund, now a family office), Adelphi Capital Partners (Philadelphia PE) and an Adelphi Capital in Washington DC, with no evidence tying the donor to any of them."
