kind,name_a,uses_a,name_b,uses_b,question
token_prefix_pair,A&E,2,A&E REAL ESTATE,1,"same company? if yes, which spelling wins"
token_prefix_pair,ALL POINT,2,ALL POINT FINANCIAL INC,1,"same company? if yes, which spelling wins"
token_prefix_pair,ALLERGY & ASTHMA CARE,1,ALLERGY & ASTHMA CARE OF ROCKLAND PC,1,"same company? if yes, which spelling wins"
token_prefix_pair,ASE GROUP,20,"ASE GROUP, POLITICAL BRANDING ASSO",29,"same company? if yes, which spelling wins"
token_prefix_pair,ASSOCIATED PENSION,2,ASSOCIATED PENSION CONSULTANTS,3,"same company? if yes, which spelling wins"
token_prefix_pair,AT&T,35,AT&T MOBILITY,1,"same company? if yes, which spelling wins"
token_prefix_pair,BAE SYSTEMS,1,BAE SYSTEMS AIRCRAFT CONTROLS,8,"same company? if yes, which spelling wins"
token_prefix_pair,BAIS YAAKOV,2,BAIS YAAKOV HIGH SCHOOL FOR GIRLS,3,"same company? if yes, which spelling wins"
token_prefix_pair,BARNABAS HEALTH,1,BARNABAS HEALTH MEDICAL GROUP,1,"same company? if yes, which spelling wins"
token_prefix_pair,BED BATH,3,"BED, BATH & BEYOND",21,"same company? if yes, which spelling wins"
token_prefix_pair,BETH TFILOH,3,BETH TFILOH CONGREGATION,2,"same company? if yes, which spelling wins"
token_prefix_pair,BLUE OCEAN,1,BLUE OCEAN STRATEGIES LLC,3,"same company? if yes, which spelling wins"
token_prefix_pair,BNY MELLON,2,BNY MELLON FINANCIAL,8,"same company? if yes, which spelling wins"
token_prefix_pair,BOSTON UNIVERSITY,11,BOSTON UNIVERSITY QUESTROM SCHOOL OF BUSINESS,58,"same company? if yes, which spelling wins"
token_prefix_pair,BROWARD PAPER,2,BROWARD PAPER & PACKAGING INC,3,"same company? if yes, which spelling wins"
token_prefix_pair,CAL STATE,1,CAL STATE UNIVERSITY NORTHRIDGE,18,"same company? if yes, which spelling wins"
token_prefix_pair,CALIFORNIA STATE UNIVERSITY,5,"CALIFORNIA STATE UNIVERSITY, FULLERTON",2,"same company? if yes, which spelling wins"
token_prefix_pair,CALIFORNIA STATE UNIVERSITY,5,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",6,"same company? if yes, which spelling wins"
token_prefix_pair,CAPITAL ONE,46,CAPITAL ONE FINANCIAL,2,"same company? if yes, which spelling wins"
token_prefix_pair,CASEY GERRY,2,CASEY GERRY REED AND SCHENK,1,"same company? if yes, which spelling wins"
token_prefix_pair,CHICAGO TITLE,6,CHICAGO TITLE INSURANCE COMPANY,1,"same company? if yes, which spelling wins"
token_prefix_pair,CITY OF HOPE,5,CITY OF HOPE MEDICAL GROUP,12,"same company? if yes, which spelling wins"
token_prefix_pair,CLEARY GOTTLIEB,5,CLEARY GOTTLIEB STEEN & HAMILTON,7,"same company? if yes, which spelling wins"
token_prefix_pair,CLEVELAND CLINIC,9,CLEVELAND CLINIC FOUNDATION,3,"same company? if yes, which spelling wins"
token_prefix_pair,COLUMBIA UNIVERSITY,37,COLUMBIA UNIVERSITY IRVING MEDICAL CENTER,6,"same company? if yes, which spelling wins"
