rid,employer_name,verdict,organisation,address,city,state,zip,source_name,source_url,note
555,TOKIO MARINE HCC,correct,Tokio Marine HCC,13403 Northwest Freeway,Houston,TX,77040,Tokio Marine HCC Office Directory,https://www.tmhcc.com/en/office-directory,Corporate HQ matches; donor executive title fits national HQ
556,TOTAL SOURCE,correct,"ADP TotalSource (ADP, LLC)",1 ADP Blvd,Roseland,NJ,07068,ADP corporate office location listing,https://corporateofficelocations.us/new-jersey/adp-llc-corporate-office/,TotalSource is ADP PEO brand; published address matches ADP HQ
557,TRADITION,corrected,Tradition (North America) / Tradition Securities and Derivatives,"32 Old Slip, 28th Floor",New York,NY,10005,Tradition.com North America regional page,https://www.tradition.com/regions/north-america/new-york.aspx,"Published 1 New York Plaza address not found on official site; company also has Houston and Stamford offices matching the two donors, but NY is the main US address"
558,TRAMMO,correct,"Trammo, Inc.","8 W 40th St, 12th Floor",New York,NY,10018,opengovwa.com corporation filing / Trammo listings,https://opengovwa.com/corporation/604785006,
559,TRINET,correct,"TriNet Group, Inc.","One Park Pl, Suite 600",Dublin,CA,94568,TriNet BBB / Dun & Bradstreet profile,https://www.bbb.org/us/ca/dublin/profile/human-resources/trinet-1116-880724,
560,TRION PROPERTIES,corrected,Trion Properties,"201 S Biscayne Blvd, Suite 700",Miami,FL,33131,Trion Properties official site (About/Contact),https://www.trionproperties.com/,"Donor is Miami-based Managing Director; company has a Miami office matching, HQ (LA) address also confirmed as 700 N San Vicente Blvd Ste G460 Los Angeles CA 90069"
561,TRIUMPH INTERIORS,correct,"Triumph Group, Inc. (Triumph Interiors division)","1255 Drummers Ln, Suite 200",Wayne,PA,19087,Triumph Group corporate address listing,https://www.triumphgroup.com/companies/triumph-interiors,
562,TRUISLENDING,correct,Truist Financial Corporation,214 N Tryon St,Charlotte,NC,28202,Truist Center / Truist IR,https://ir.truist.com/2019-12-11-Truist-Charlotte-headquarters-building-to-be-renamed-Truist-Center,
563,TSG CONSUMER,corrected,"TSG Consumer Partners, LP","4 Star Point, Suite 203",Stamford,CT,06902,TSG Consumer official contact page,https://www.tsgconsumer.com/contact,"Official offices are Larkspur CA, Stamford CT, Summerlin NV, London only; no LA/Wilshire office exists. Donors are in Westport CT, matching the Stamford office"
564,TUBI,corrected,"Tubi, Inc.",201 3rd Street,San Francisco,CA,94103,Tubi corporate contact page,https://corporate.tubitv.com/company/contact-us/,"Official HQ is San Francisco; Universal City address not listed as a Tubi office. Only SF and Chicago listed, no NY office for the NY-based donor"
565,U.S. DEPARTMENT OF AGRICULTURE,correct,U.S. Department of Agriculture,1400 Independence Ave SW,Washington,DC,20250,USDA official site - Visiting USDA Headquarters Complex,https://www.usda.gov/about-usda/general-information/staff-offices/departmental-administration/visiting-usda-headquarters-complex,"Specific federal department with a single defined HQ, unlike a generic federal government reference"
566,U.S. SEARCH LLC,home_based,U.S. Search Legal LLC,,Potomac,MD,,Alignable business profile,https://www.alignable.com/potomac-md/us-search-legal-llc,"Solo legal recruiter Arnie Hiller based in Potomac MD, not the unrelated USSearch.com/600 Corporate Pointe Culver City CA background-check company that was published; no public office address found"
567,UBER TECHNOLOGIES,corrected,"Uber Technologies, Inc.",1725 3rd St,San Francisco,CA,94158,Uber Technologies FY2025 Form 10-K (SEC EDGAR),https://www.sec.gov/Archives/edgar/data/1543151/000154315126000015/uber-20251231.htm,Uber HQ moved from 1515 3rd St to 1725 3rd St per current SEC filing
568,UBS FINANCIAL SERVICES INC,correct,UBS Financial Services Inc.,1200 Harbor Blvd,Weehawken,NJ,07086,UBS Financial Services Inc. DC Advisory Disclosure Brochure (UBS official),https://onlineservices.ubs.com/staticfiles/pws/adobe/DC_Advisory_Disclosure_Brochure.pdf,UBS Weehawken campus has multiple building numbers (800/1000/1200 Harbor Blvd); official UBS disclosure brochure lists 1200 Harbor Blvd matching published address
569,UCSF BENIOFF CHILDREN'S HOSPITAL,correct,UCSF Benioff Children's Hospital San Francisco,550 16th St,San Francisco,CA,94158,UCSF Benioff Children Hospitals - Mission Bay location page,https://www.ucsfbenioffchildrens.org/locations/mission-bay,
570,UHG,corrected,UnitedHealth Group Incorporated,1 Health Drive,Eden Prairie,MN,55344,UnitedHealth Group FY2025 Form 10-K (SEC EDGAR),https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/unh-20251231.htm,UHG relocated headquarters from 9900 Bren Rd E Minnetonka to 1 Health Drive Eden Prairie MN in 2024
573,UNITED HEALTH GROUP,corrected,UnitedHealth Group Incorporated,1 Health Drive,Eden Prairie,MN,55344,UnitedHealth Group FY2025 Form 10-K (SEC EDGAR),https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/unh-20251231.htm,HQ relocated from Minnetonka to Eden Prairie MN in 2024
574,UNITED HEALTHCARE,corrected,UnitedHealthcare (UnitedHealth Group Incorporated),1 Health Drive,Eden Prairie,MN,55344,UnitedHealth Group FY2025 Form 10-K (SEC EDGAR),https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/unh-20251231.htm,UnitedHealthcare is a UnitedHealth Group subsidiary; parent HQ relocated from Minnetonka to Eden Prairie MN in 2024
571,UIPATH,corrected,"UiPath, Inc.","One Vanderbilt Ave, 60th Floor",New York,NY,10017,UiPath FY2026 Form 10-K (SEC EDGAR),https://www.sec.gov/Archives/edgar/data/1734722/000173472226000012/path-20260131.htm,UiPath HQ is One Vanderbilt Ave (not 90 Park Ave) per current SEC filing
572,UMD,corrected,"University of Maryland, College Park (Main Administration/Thomas V. Miller Administration Building)",7901 Regents Dr,College Park,MD,20742,Maryland Matters / UMD campus building info,https://marylandmatters.org/2020/07/01/university-of-maryland-college-park-names-administration-building-for-sen-mike-miller/,"Building renamed from Main Administration to Thomas V. Miller Administration Building; official mailing address for the building is 7901 Regents Dr, not a room-number-only address"
575,UNIVERSITY OF CHARLESTON,correct,University of Charleston,2300 MacCorkle Ave SE,Charleston,WV,25304,University of Charleston official directions page,https://www.ucwv.edu/visit/directions-to-campus/,
576,US ARMY,generic_no_office,,,,,,,,"Branch of military as a whole, donors scattered across many states/bases; not one organisation with a single meaningful office"
577,USAF RESERVE,generic_no_office,,,,,,,,"Military reserve component as a whole, not one organisation with a single meaningful office (donor likely serves at a specific Air Reserve/ANG base, not identifiable from employer name alone)"
578,USG,generic_no_office,,,,,,,,"USG here is an abbreviation for United States Government (donors in unrelated occupations/states: attorney DC, engineer FL, professor GA, retired MD), not USG Corporation; federal government as a whole has no single meaningful office"
579,USI INSURANCE SERVICES,correct,USI Insurance Services LLC,"100 Summit Lake Dr, Suite 400",Valhalla,NY,10595,Bar List Publishing / USI corporate office listing,https://barlist.com/independent-agents/details/100686/usi-insurance-services-llc---corp-office,
580,USIP,corrected,United States Institute of Peace,2301 Constitution Ave NW,Washington,DC,20037,Wikipedia / Yelp listing for USIP HQ building,https://en.wikipedia.org/wiki/United_States_Institute_of_Peace_Headquarters,Published street name (Pennsylvania Ave) is wrong; correct street is Constitution Ave NW
581,VALLEY HEALTH SYSTEM,corrected,Valley Health / Winchester Medical Center,1840 Amherst St,Winchester,VA,22601,US News Best Hospitals - Winchester Medical Center,https://health.usnews.com/best-hospitals/area/va/winchester-medical-center-6341200,Donor is a physician; hospital address (not the 1 Medical Center Dr / administrative office address published) fits better
582,VAPORSTREAM,correct,"Vaporstream, Inc.","223 W Jackson Blvd, Suite 1104",Chicago,IL,60606,BBB Vaporstream Inc profile,https://www.bbb.org/us/il/chicago/profile/network-security/vaporstream-inc-0654-90008746,
583,VAST,correct,VAST Data,240 W 37th St,New York,NY,10018,Traded.co - VAST Data lease at 240 West 37th Street,https://traded.co/deals/new-york/office/lease/240-west-37th-street-3/,Donor occupation software developer matches VAST Data (storage/AI infrastructure company)
584,VEDDER PRICE,correct,Vedder Price P.C.,222 N LaSalle St,Chicago,IL,60601,Hoodline - Vedder Price Chicago HQ lease,https://hoodline.com/2026/05/vedder-price-doubles-down-on-the-loop-locks-riverfront-hq-until-2041/,
585,VENABLE LLP,correct,Venable LLP,600 Massachusetts Ave NW,Washington,DC,20001,Venable LLP - Washington DC office page,https://www.venable.com/offices/washington-dc,
586,VERITA GLOBAL,correct,"Verita Global, LLC","222 N Pacific Coast Hwy, 3rd Floor",El Segundo,CA,90245,Craft.co Verita Global locations,https://craft.co/verita-global/locations,
587,VITUITY,corrected,"Vituity (CEP America, LLC)","2100 Powell St, Suite 400",Emeryville,CA,94608,Vituity official Contact Us page,https://www.vituity.com/contact-us,"HQ is Emeryville, not One Maritime Plaza San Francisco as published"
588,WACHTEL MISSRY LLP,corrected,Wachtel Missry LLP,"One Dag Hammarskjold Plaza, 47th Floor, 885 Second Avenue",New York,NY,10017,Wachtel Missry LLP official Contact Us page,https://www.wmllp.com/contact-us,Official site lists 885 Second Avenue (not Third Avenue) as current address
589,WALLICK COMMUNITIES,corrected,Wallick Communities,"160 West Main St, Suite 200",New Albany,OH,43054,Wallick Communities official Contact page,https://wallick.com/contact/,"Corporate HQ is New Albany OH, not Cleveland"
590,WALMART,corrected,Walmart Inc.,1 Customer Drive,Bentonville,AR,72716,Walmart Inc. FY2026 Form 10-K (SEC EDGAR),https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,"HQ moved to Walmart new home office campus, 1 Customer Drive"
591,WAND AI,not_found,Wand Synthesis AI Inc. (Wand AI),,,,,,,Official site (wand.ai) has no office address listed; could not locate a reliable public office address for this AI startup
592,WAYPOINT,ambiguous,,,,,,,,"Employer name Waypoint is generic; many unrelated companies share the name (Waypoint Resource Group, Waypoint Living Spaces, Waypoint Analytical, etc.) and none could be confirmed at the Odenton MD address; donor is retired giving no current-employer clue"
593,WCHN,correct,"Danbury Hospital (formerly Western Connecticut Health Network, now part of Nuvance Health/Northwell Health)",24 Hospital Ave,Danbury,CT,06810,Wikipedia - Danbury Hospital,https://en.wikipedia.org/wiki/Danbury_Hospital,"WCHN brand has since become Nuvance Health, affiliated with Northwell Health (2024); physical hospital address unchanged"
594,WEDGEWOOD PHARMACY,correct,Wedgewood Pharmacy,"405 Heron Dr, Suite 200",Swedesboro,NJ,08085,Wedgewood Pharmacy official Contact Us page,https://www.wedgewoodpharmacy.com/contact-us,
595,WEIGHTWATCHERS,corrected,"WW International, Inc.","18 West 18th St, 7th Floor",New York,NY,10011,WW International FY2025 Form 10-K (SEC EDGAR),https://www.sec.gov/Archives/edgar/data/105319/000119312526107176/ww-20251231.htm,"HQ is 18 West 18th St, not 477 5th Ave"
596,WEITZ & LUXENBERG,correct,"Weitz & Luxenberg, P.C.",700 Broadway,New York,NY,10003,Weitz & Luxenberg official Contact Us page,https://www.weitzlux.com/contact-us,
597,WELLMED,not_found,WellMed Medical Management Inc.,,,,,,,Published Austin TX address could not be confirmed; WellMed is San Antonio/Texas-based (owned by Optum/UHG) but no specific verifiable single office address found for the corporate entity
598,WELLPATH,correct,Wellpath,"6550 Carothers Pkwy, Suite 500",Franklin,TN,37067,Wellpath official site,https://www.wellpathcare.com/contact-us/,
599,WELLS FARGO PRIVATE BANK,corrected,Wells Fargo & Company,333 Market St,San Francisco,CA,94105,Wells Fargo & Co FY2025 Form 10-K (SEC EDGAR),https://www.sec.gov/Archives/edgar/data/72971/000007297126000133/wfc-20251231_d2.htm,Current registered corporate HQ is 333 Market St; could not confirm 420 Montgomery St (former historic HQ) still houses Private Bank specifically
600,WESTCHESTER INSTITUTE FOR HUMAN DEVELOPMENT,correct,Westchester Institute for Human Development (WIHD),"Cedarwood Hall, New York Medical College",Valhalla,NY,10595,WIHD official Contact page,https://www.wihd.org,
601,WEWORK,correct,WeWork Inc.,110 5th Ave,New York,NY,10011,Wikipedia - WeWork (HQ New York City); 110 Fifth Ave long-documented WeWork flagship/HQ building,https://en.wikipedia.org/wiki/WeWork,Could not access wework.com building page directly (bot-blocked) to reconfirm exact current suite
602,WIINGATE LIVING,corrected,Wingate Companies,100 Wells Ave,Newton,MA,02459,Wingate Companies official site footer,https://www.wingatecompanies.com,"Corporate HQ is Newton MA (100 Wells Ave), not the Needham 300 1st Ave address published; donor occupation real estate and healthcare matches Wingate Companies (development/property mgmt arm)"
603,WILSON SONSINI,correct,Wilson Sonsini Goodrich & Rosati,650 Page Mill Rd,Palo Alto,CA,94304,Wikipedia - Wilson Sonsini Goodrich & Rosati,https://en.wikipedia.org/wiki/Wilson_Sonsini_Goodrich_%26_Rosati,
604,WINSTON & STRAWN,correct,Winston & Strawn LLP,35 W Wacker Dr,Chicago,IL,60601,Wikipedia - Winston & Strawn,https://en.wikipedia.org/wiki/Winston_%26_Strawn,
605,WITHUM,correct,"Withum (WithumSmith+Brown, PC)","506 Carnegie Center, #400",Princeton,NJ,08540,Withum official Our Locations page,https://withum.com/our-locations/,
606,WOLFE RESEARCH,correct,Wolfe Research,"757 Third Ave, 6th Floor",New York,NY,10017,Wolfe Research official site - Office Locations,https://wolferesearch.com/contact,
607,WOODLINE PARTNERS,correct,Woodline Partners LP,"4 Embarcadero Center, Suite 3450",San Francisco,CA,94111,Woodline Partners official Contact page,https://woodlinepartners.com/contact,
608,WORKDAY,correct,"Workday, Inc.",6110 Stoneridge Mall Rd,Pleasanton,CA,94588,Workday FY2026 Form 10-K (SEC EDGAR),https://www.sec.gov/Archives/edgar/data/1327811/000132781126000014/wday-20260131.htm,
609,WORLD INSURANCE ASSOCIATES,correct,World Insurance Associates LLC,"100 Wood Ave South, 4th Floor",Iselin,NJ,08830,World Insurance Associates official Contact page (HQ address),https://www.worldinsurance.com/contact,"Donor Jay Kirschbaum also appears as a listed World Insurance team member on the same site, confirming organisation match"
610,WRP MANAGEMENT CORP,not_found,WRP Management Corp,,,,,,,Could not locate an official website or reliable public office listing for this company (LA real estate management firm)
