employer_name,decision,expansion,confidence,verified,evidence,why
ADDCA,expand,ADD COACH ACADEMY,high,,https://addca.com/,"ADD Coach Academy is headquartered at 17 Googas Rd, Slingerlands NY — the exact donor city — and the OWNER occupation matches founder/president David Giwerc."
ADVENTIST,expand,ADVENTIST HEALTH,medium,,https://www.adventisthealth.org/portland/,"Donor is a PHYSICIAN in Portland OR; Adventist Health Portland is a 302-bed medical center with ~290 physicians at 10123 SE Market St, Portland OR — occupation and city both corroborate the Adventist Health system rather than the Silver Spring MD church body."
ALLENCOMM,expand,ALLEN COMMUNICATION LEARNING SERVICES,high,,"https://www.dnb.com/business-directory/company-profiles.allen_communication_learning_services_inc.html — Allen Communication Learning Services, Inc., Salt Lake City, Utah; brand 'AllenComm'",Salt Lake City HQ and donor city match exactly; CEO/MANAGEMENT occupations fit a corporate-training firm.
ANTEX,expand,ANTEX KNITTING MILLS,high,,"https://www.antex.com/ — 'Antex Knitting Mills', vertical knitting mill located in California since 1973","antexknitting.com redirects to antex.com, which identifies the company as Antex Knitting Mills, a California vertical knitting mill — matching the MANUFACTURER/MANUFACTURING donors in Beverly Hills, CA and the Los Angeles, CA resolved HQ."
ASMG,expand,ANESTHESIA SERVICE MEDICAL GROUP,high,,"Anesthesia Service Medical Group, Inc. (ASMG), founded 1946, 3626 Ruffin Road, San Diego CA — confirmed via search results for the group's own site","Donor is a PHYSICIAN in Del Mar CA, which is in San Diego County where ASMG is the large anesthesiology group — occupation and location corroborate it directly."
ASN,expand,ANESTHESIOLOGY SERVICES NETWORK,high,,https://asndayton.org/,"ANESTHESIOLOGIST occupation with a Dayton OH donor matches Anesthesiology Services Network (asndayton.org), headquartered at 1 Wyoming St, Dayton — an exact occupation-plus-city corroboration."
ASYV,expand,AGAHOZO-SHALOM YOUTH VILLAGE,high,,"https://asyv.org/ — 'Agahozo-Shalom Youth Village (ASYV)', US office 228 Park Ave S, New York, NY 10003","The organization's site confirms ASYV as its abbreviation and lists a US office at 228 Park Ave S, New York, NY, matching the CFO donor in New York, NY."
AWS,expand,AMAZON WEB SERVICES,high,,well-established public fact; no search performed,"Seattle WA resolved HQ plus TECH EXECUTIVE occupation corroborate Amazon Web Services; the expansion ties the employer to Amazon, which a general reader recognizes far more readily than the initialism. Decided without a search — globally documented brand."
BAYLOR,expand,BAYLOR COLLEGE OF MEDICINE,high,confirmed,https://www.bcm.edu/departments/neurosurgery/faculty/pediatric-neurosurgical-clinical-faculty,"Donors are a PEDIATRIC NEUROSURGEON and SURGEON in Houston, TX; BCM's Houston pediatric neurosurgery faculty (Texas Children's) corroborates the medical school, not Baylor University in Waco (the AI HQ is wrong)."
BCCP,expand,BALTIMORE CITY CANCER PROGRAM,medium,,https://html.duckduckgo.com/html/?q=%22Baltimore+City+Cancer+Program%22+BCCP+nurse,"Search confirms the Baltimore City Cancer Program (BCCP), run by University of Maryland's Greenebaum Comprehensive Cancer Center, and that it staffs RN case manager/navigator roles — matching the REGISTERED NURSE donor in BALTIMORE MD. Maryland's statewide Breast and Cervical Cancer Program shares the initialism, which caps confidence at medium."
BDT&MSD,expand,BDT & MSD PARTNERS,high,,https://bdtmsd.com/ and https://en.wikipedia.org/wiki/BDT_%26_MSD_Partners — merchant bank co-headquartered in Chicago and New York,"The MERCHANT BANKER occupation, Highland Park IL donors and the Chicago HQ corroborate the firm exactly; adding 'Partners' makes it read as a company rather than a string of initials."
BIDMC,expand,BETH ISRAEL DEACONESS MEDICAL CENTER,high,,https://bidmc.org/about,"PHYSICIAN and REGISTERED NURSE donors in Needham and Newton Centre, MA with a Boston HQ match the Longwood-area Harvard teaching hospital exactly."
BILH,expand,BETH ISRAEL LAHEY HEALTH,high,,"https://www.bilh.org/ — full name 'Beth Israel Lahey Health', 100+ locations in MA and NH","Official site confirms Beth Israel Lahey Health, a Massachusetts/New Hampshire health system; the PHYSICIAN donor in Newton Center MA and resolved HQ Boston MA corroborate it precisely."
BMCI,expand,BEST MANAGEMENT CONSTRUCTION,high,,http://bmci.us/ ; https://www.dnb.com/business-directory/company-profiles.bmci.0f8df0816406f00b0eac48818c88d8b5.html,"Search identifies BMCI as Best Management Construction, Inc. of Irvine CA; the donor is PRESIDENT living in Irvine / Foothill Ranch CA, which corroborates that exact firm."
BNE,expand,BNE REAL ESTATE GROUP,medium,,https://html.duckduckgo.com/html/?q=BNE+Real+Estate+Group+Livingston+New+Jersey,"Confirmed as a family-owned real estate developer at 16 Microlab Road, Livingston NJ — matching both REAL ESTATE donors in Livingston and Short Hills NJ. The letters BNE have no published expansion, so the firm's full trading name is the most intelligible form available."
BRG,expand,BERKELEY RESEARCH GROUP,high,,https://en.wikipedia.org/wiki/Berkeley_Research_Group ; https://www.thinkbrg.com/industries/healthcare/,"Berkeley Research Group is HQ'd in Emeryville CA, matching resolved_hq exactly, and its large healthcare practice corroborates the HEALTHCARE MANAGEMENT CONSULTANT donor."
BROCKTON,expand,BROCKTON PUBLIC SCHOOLS,medium,,https://html.duckduckgo.com/html/?q=Brockton+Public+Schools+Massachusetts+teacher+employer,"'Brockton' is a Massachusetts city name, not an acronym; the TEACHER occupation and Canton MA residence (a Brockton-adjacent town) corroborate Brockton Public Schools, confirmed as the city's district and a large teacher employer."
BSW,expand,BAYLOR SCOTT & WHITE HEALTH,high,,"https://www.bswhealth.com/locations/service-area/austin-tx — Baylor Scott & White Health, bswhealth.com, six hospitals in the Austin area","BSW is meaningless to a reader; the HEALTHCARE occupation and Austin TX donor location corroborate Baylor Scott & White, which itself abbreviates to BSW in its own domain name."
CALTRANS,expand,CALIFORNIA DEPARTMENT OF TRANSPORTATION,high,,https://en.wikipedia.org/wiki/Caltrans,"Wikipedia confirms Caltrans = California Department of Transportation, headquartered in Sacramento — exactly the resolved_hq on this row; retired CA donor corroborates."
CAMSF,expand,CARDIOVASCULAR ASSOCIATES OF MARIN & SAN FRANCISCO,medium,,https://www.acronymfinder.com/Cardiovascular-Associates-of-Marin-&-San-Francisco-Inc.-(California)-(CAMSF).html,"The donor city San Rafael is the seat of Marin County, exactly the practice's service area, which corroborates the Marin & San Francisco cardiology group; the RETIRED occupation is neutral rather than confirming, hence medium."
CAPLIN,expand,CAPLIN & DRYSDALE,high,,"https://www.caplindrysdale.com/ — Caplin & Drysdale, Chartered, 1200 New Hampshire Ave NW, Washington DC","Donor occupation LAWYER in Silver Spring, MD (DC suburb); Caplin & Drysdale is a Washington DC tax law firm founded 1964 — the only prominent 'Caplin' law employer in the DC area."
