hid,employer_name,verdict,evidence,source_url
22,AMROCK HOLDINGS,premises,"Amrock is headquartered in the historic First National Building office tower at 662 Woodward Ave, Detroit, a commercial high-rise, not a residence.",https://www.amrock.com/contact
26,ARDMORE TOYOTA,premises,"Ardmore Toyota's own dealership website lists its sales, service and parts departments at 219 E Lancaster Ave, Ardmore PA, a car dealership storefront.",https://www.ardmoretoyota.com/
29,ARTISTIC TILE INC,premises,"Artistic Tile's own website lists 520 Secaucus Road as its warehouse/distribution center and slab gallery showroom, a commercial facility.",https://www.artistictile.com/pages/slab-gallery
34,ATLANTIS CASINO RESORT & SPA,premises,"The Atlantis Casino Resort Spa's own website lists 3800 S. Virginia Street, Reno as the resort/casino property itself.",https://www.atlantiscasino.com/contact-us
36,AUERBACH REALTY HOLDINGS LLC,premises,"Auerbach Realty operates from a mixed-use professional office building at 2416 Wilshire Blvd, Santa Monica, per its own contact page and commercial property listings.",https://www.auerbachrealty.com/contact-us
41,BLOOMBERG,premises,"Bloomberg L.P.'s world headquarters is the Bloomberg Tower office building at 731 Lexington Ave, New York, a commercial high-rise.",https://en.wikipedia.org/wiki/731_Lexington_Avenue
53,CONGREGATION EMANU-EL,premises,"Congregation Emanu-El is a synagogue whose own building and offices are at 2 Lake St, San Francisco, a public house of worship, not a residence.",https://www.emanuelsf.org/
57,CSR PRIVACY SOLUTIONS,premises,"CSR Privacy Solutions' own website lists 830 NE Pop Tilton Place, Jensen Beach as its business contact address.",https://csrps.com/contact/
72,GRT CORPORATION,premises,"GRT Corporation's own website lists its office as 263 Tresser Blvd (One Stamford Plaza), Stamford, a commercial office tower.",https://grtcorp.com/contact-us/
75,HILLWOOD,premises,"Hillwood's own website lists its Hillwood West office at 3000 Turtle Creek Blvd, Dallas, a commercial office address.",https://www.hillwood.com/contact
2,510 VENTURES LLC,home,"Maryland business registry lists 510 Ventures LLC only at a resident-agent address, with no public storefront, office listing, or business website found at that street.",
21,AMG PROPERTIES INC,premises,"AMG (Association Management Group) publishes 614 West Friendly Ave, Greensboro NC 27401 as its Greensboro office on its own company website.",https://www.amgworld.com/greensboro
33,ASSOCIATION MANAGEMENT GROUP INC,premises,"Association Management Group publishes 614 West Friendly Ave, Greensboro NC 27401 as its Greensboro office on its own company website.",https://www.amgworld.com/greensboro
39,BEST CARE NURSES REGISTRY INC,premises,"Best Care Nurses Registry is a licensed home-health agency and Greater Hollywood Chamber of Commerce member business publicly listed at 208 S 28th Ave, Hollywood FL since 1980.",https://bestcare.net/
51,CHOSEN RESUMES LLC,home,Chosen Resumes is a two-employee resume-writing service listed only at a residential-style Cornell Dr address with no suite number or storefront in any business directory found.,
63,GARRISON SYSTEMS LLC,home,"Garrison Flood Control's own website lists only a phone number, no street address, and other listings place the company's Florida operations in Pompano Beach/Coconut Creek, so the residential East 74th Street address has no public confirmation as a business premises.",
68,GOLD AND COMPANY,premises,"LoopNet's company profile identifies Gold and Company as a commercial real estate brokerage office at 5601 Newbury St, Baltimore.",https://www.loopnet.com/company/gold-and-company-llc/baltimore-md/0vt3xx1l/
69,GOLDHABER POLICY SERVICES LLC,home,Goldhaber Policy Services is a one-principal lobbying/consulting firm with no public office address or business listing found beyond the principal's own biography.,
1,50 EIGHTH AVENUE TENANTS CORP,premises,"50 Eighth Avenue Tenants Corp is the residential cooperative corporation that owns and operates the pre-war co-op apartment building at 50 8th Ave, Brooklyn - that building is its own real property, not an unrelated private home.",https://streeteasy.com/building/50-8-avenue-brooklyn
6,ADVANCE PACKAGING TECHNOLOGIES,premises,"Advance Packaging Technologies is an ISO-9000 certified packaging manufacturer/distributor, founded 1987, with its own facility and Chamber of Commerce listing at 5720 Williams Lake Rd, Waterford Township MI.",http://www.advancepac.com/contact/
13,ALL ACCESS APPAREL,premises,"All Access Apparel (Self Esteem Clothing), a 51-200 employee apparel manufacturer founded in 1997, is headquartered at 1515 Gage Rd, Montebello CA, per company and import-shipment records.",https://www.importyeti.com/company/all-access-apparel
20,AMERICAN NITRILE,premises,"American Nitrile operates a 530,000-square-foot nitrile glove manufacturing plant at 3500 Southwest Blvd, Grove City OH, per news coverage of the plant opening.",https://rubberworld.com/american-nitrile-to-build-nitrile-glove-factory-in-grove-city-ohio/
28,ARONOV REALTY MANAGEMENT INC,premises,"Aronov Realty Management's office is Suite 100 at 3500 Eastern Blvd, Montgomery AL, per its own contact page and business directory listings.",https://aronov.com/contact
7,ADVOCATE BROKERAGE CORP,premises,"Advocate Brokerage (now Cross Private Client Insurance) has operated a walk-in insurance agency office with posted business hours at 820 Scarsdale Ave, Scarsdale, since 1968.",https://www.crossprivateclient.com/locations/scarsdale-new-york/
9,AINI & ASSOCIATES PLLC,premises,"Aini & Associates is a law firm with a registered office and posted business hours at 2615 Coney Island Ave, Brooklyn, per attorney registration and business directory records.",https://opengovny.com/attorney/2810968
11,ALAN GRAHAM MOTORING,premises,"Alan Graham Motoring Accessories is a seat-cover manufacturer and auto brokerage operating from 8618 Lindley Ave, Northridge CA since 1977, per its own company website.",https://www.alangraham.com/about-us
14,ALLAN WISER INSURANCE,premises,"Allan Wiser Insurance Services Inc is a 31-year-old insurance agency with posted business hours and consistent listings at 4809 Sparks Ave, San Diego.",https://www.superpages.com/san-diego-ca/bpp/allan-wiser-insurance-services-inc-1687249
16,ALMEL INCORPORATED,home,Almel Inc is a one-employee independent manufacturer's representative/wholesale broker with no public office or storefront identified beyond a registry listing.,
23,ANHALT REALTY LLC,premises,"Anhalt Realty's corporate office, with 9 employees and its own phone/fax lines, is located at 240 Grand Ave, Englewood NJ, per business directory records.",https://www.zoominfo.com/pic/anhalt-realty/395094039
31,ASPHALT ANCHORS CORP,premises,"Asphalt Anchors Corp (a Designated Parking Corp subsidiary) manufactures and ships its BoltHold asphalt-anchor products from 10 Ridge Rd, West Orange NJ, per its manufacturer datasheets and ThomasNet listing.",https://www.thomasnet.com/company/asphalt-anchors-10082234/profile
37,BABACO,premises,"Babaco Alarm Systems, a logistics-security company operating since 1930, lists 497 Washington Ave, Carlstadt NJ as its business address with its own phone/fax lines.",https://www.dnb.com/business-directory/company-profiles.babaco_alarm_systems_inc.5f87479b1d742bf9f0660a65b4e62401.html
19,AMERICAN FINDINGS CORP,premises,"American Findings Corp is a jewelry/jewelry-repair business (London Gold) listed at 10441 N Scottsdale Rd, a commercial retail corridor, per business directory records.",https://www.yellowpages.com/paradise-valley-az/mip/american-findings-corp-496627065
40,BLATT REALTY,home,"Public records link the Blatt Realty/Blatt Companies name to a different Beverly Hills office (9777 Wilshire Blvd), with no listing found placing the business at 241 S Linden Dr.",
45,CAMELOT BIOCAPITAL,premises,"Camelot BioCapital, a biotech venture studio, lists 1100 Holland Dr, Boca Raton as its business address on its own company website.",https://camelotbiocapital.com/contact
46,CAMPUS APARTMENTS,premises,"Campus Apartments, a national student-housing company founded in 1958, has its headquarters at 4043 Walnut St, Philadelphia, per company and news coverage.",https://thedp.com/article/2022/12/campus-apartments-new-headquarters-walnut-street
47,CANTOR INJURY LAW,premises,"Cantor Injury Law has operated a law office with posted business hours at 12283 Olive Blvd, St. Louis since 1993.",https://www.cantorinjurylaw.com/about/office-locations/st-louis/
50,CERTIFIED FINANCIAL GROUP INC,premises,"Certified Financial Group, a CNBC Top-100 financial advisory firm operating since 1976, has its office at 1111 Douglas Ave, Altamonte Springs, per its BBB profile and business listings.",https://www.bbb.org/us/fl/altamonte-springs/profile/financial-planning-consultants/certified-financial-group-inc-0733-101828
67,GLOBAL PHOTONICS,premises,"Global Photonics operates a roughly 50,000-square-foot optical-systems manufacturing facility on 6 acres at 7826 Photonics Dr, Trinity FL.",https://www.globalphotonics.com/about
48,CBG REAL ESTATE,premises,"CBG Commercial Real Estate, a San Antonio firm established 1978, lists 4629 Macro, San Antonio as its office on its own contact page.",https://cbgcre.com/contact-us/
54,CONSOLIDATED INVESTMENT GROUP,premises,"Consolidated Investment Group, an 11-50 employee real estate/private-equity firm, lists 18 Inverness Pl E, Englewood CO as its corporate office on its own website.",https://www.ciginvest.com/
62,FLOWERS PROPERTIES LLC,premises,"Flowers Properties is a commercial real estate firm listed with the Southaven Area Chamber of Commerce and its own phone/fax lines at 864 Goodman Rd E, Southaven.",https://business.southavenchamber.com/list/member/flowers-properties-1744
70,GRANDSTONE INVESTMENT SALES,home,"Grandstone Investment Sales' own website lists its headquarters at 21 E State Street, Columbus OH, not the 1385 Brookwood Pl address on file, which has no public confirmation as a business premises.",
43,BRISTOL ASSOCIATES,premises,"Bristol Associates Ltd, a textile-converting wholesaler incorporated in 1992 with about $18.7M in revenue and its own phone/fax lines, operates from 20 Morris Ln, Scarsdale.","https://www.buzzfile.com/business/Bristol-Associates,-Ltd.-914-472-6200"
15,ALLEN FELTMAN REAL ESTATE,home,"Allen M. Feltman Real Estate is a solo broker practice registered at 5509 Saint Andrews Ct, a residential cul-de-sac address, with no separate storefront or office confirmed.",
18,AME EQUITIES,home,"AME Equities LLC is registered at 2011 Bradford Hall Pl, a residential street of single-family houses in Charlotte, with no public office or storefront found.",
27,ARDR REALTY LLC,home,"No business listing, storefront, or company website places ARDR Realty LLC at 318 Amethyst Ave, a residential street of houses in Newport Beach.",
55,CRESCENT REALTY ADVISORS,premises,"Crescent Realty Advisors is a 10-19 employee real estate appraisal/brokerage firm headquartered at 4840 Andasol Ave, Encino since 1999, per business registry records.",https://opengovus.com/los-angeles-business/0000966001-0001-4
71,GREENE KARLIN REAL ESTATE LLC,home,"Greene Karlin Real Estate LLC (administratively dissolved) is listed only at a registered-agent address, 500 Northland Ridge Ct, Atlanta, with no independent business office found.",
17,ALPHA BETA PLANNING,home,"Alpha Beta Planning is a solo business-consulting practice run by one owner with no suite number or storefront, registered at 75 Jefferson Ct, a residential court in Yorktown Heights.",
42,BRIAN DROR CPA INC,premises,"Brian Dror, CPA operates from a suite office (Ste 102) on West 3rd St in Los Angeles per CPA directory listings, a commercial office corridor rather than a residence.",http://www.cpapublic.com/California/Los-Angeles/0c8/Brian-Dror-Inc.html
49,CDS MECHANICAL SERVICES,home,"CDS Mechanical Service is a small HVAC/plumbing contractor listed only at 909 William Meade Ct, a residential court in Davidsonville, with no shop or warehouse address confirmed anywhere.",
52,CITRINFINANCIAL,home,"Citrin Financial's confirmed commercial office is a suite at 300 71st St, Miami Beach; the Quayside Ln address on file is a residential condo-area street with no business listing of its own.",
61,EDELSTEIN PUBLIC AFFAIRS,home,"Edelstein Public Affairs is a one-principal communications/lobbying LLC registered at 6417 Thornhill Dr, a residential street in the Oakland hills, with no separate office found.",
32,ASSESSMENT SOLUTIONS GROUP,premises,"Assessment Solutions Group, a state-assessment consulting firm founded in 2009, lists 215 Loch Lomond Way, Danville as its corporate office/contact address on its own company website.",https://assessmentgroup.org/contact-us/
58,DANALEX INC,home,"The address listed for Danalex, 85 Pristine Glen St, Las Vegas, is a 3,776 sq ft single-family home built in 2014, not a commercial premises.",
5,ACUITY CAPITAL LLC,home,"No business listing, filing, or company website places an Acuity Capital LLC office at 12720 Hanover St, Los Angeles; other same-named firms are headquartered elsewhere.",
38,BACKENGINE,home,"BackEngine is an early-stage venture-funded startup whose corporate filings list 1924 Bagley Ave, Los Angeles as its mailing address, with no separate public office identified.",
59,DENALI BRANDS INC,home,"Denali Brands Inc is a one-employee retail company registered at 4 Andover Country Club Lane, a private residential street in a country-club community, with no separate storefront found.",
3,757CFO LLC,home,"757CFO is a small fractional-CFO consulting LLC with no public office found beyond its registered address, 905 Enfield Chase, a residential subdivision street in Virginia Beach.",
4,"ABBOTT LEE STILLMAN, ARTIST LLC",home,This is a single-artist LLC with no gallery or studio storefront found; the address is a residential drive in Scarsdale.,
8,AGI FINANCIAL,home,No business listing or company website places AGI Financial at a commercial office; 930 Carmel Ct is a residential court in Los Altos.,
10,AJS STONE CONSULTING LLC,home,"AJS Stone Consulting LLC has no public office or storefront found beyond its registered address, 9715 Cresta Dr, a residential street in Los Angeles.",
12,ALANA MULLER ENTERPRISES,home,Alana Muller Enterprises is a solo business-coaching practice with no public office found; the address is a residential street in Overland Park.,
24,APPROVED FINANCIAL,home,"Approved Financial shares its registered address, 1226 Jasmine Cir, Weston FL, with an unrelated solo CPA practice (Gary Opper CPA), consistent with a residential circle address rather than a business premises.",
25,ARC,home,"No business listing or company website confirms a commercial office for ARC at 5504 Estate Oak Cir, a residential circle in Fort Lauderdale.",
30,ASF WINES LLC,home,No business listing or company website places ASF Wines LLC at a commercial premises; 68 Clover Dr is a residential street in Great Neck.,
35,ATLAS STRATEGY GROUP,home,"No business listing or company website confirms a commercial office for Atlas Strategy Group at 15 Ladue Ln, a residential lane in Saint Louis.",
44,BYNANCY,home,No business listing or storefront confirms a commercial premises for Bynancy; 5020 Gloria Ave is a residential street in Encino.,
56,CROOKED MONKEY,home,No business listing or storefront confirms a commercial premises for Crooked Monkey; 8220 River Quarry Pl is a residential street in Bethesda.,
60,ECO MARKETING,home,No business listing or storefront confirms a commercial premises for Eco Marketing; 41 Nace Ave is a residential street in Piedmont.,
64,"GARY OPPER, CPA",home,"Gary Opper, CPA is a solo practitioner whose registered address, 1226 Jasmine Cir, Weston FL, is also used by an unrelated company (Approved Financial), consistent with a residential circle address rather than an accounting-firm office.",
65,GEFFEN ENTERPRISES,home,No business listing or company website confirms a commercial premises for Geffen Enterprises; 5 Breckenridge Ln is a residential lane in Savannah.,
66,GHB CAPITAL LLC,home,"GHB Capital LLC is a small investment LLC registered at 805 Wilmot Rd, a residential road in Scarsdale, with no separate office identified.",
73,HAMMERMAN CAPITAL MANAGEMENT,home,"Hammerman Capital Management and several affiliated investment partnerships share a single registered address, 1232 Rose Ln, a residential street in Lafayette CA, with no separate office identified.",
74,HARDWOOD PARTNERS,home,"Hardwood Partners LLC (now administratively inactive) is registered at 968 Harbor Rd, a residential property in Southport CT, with no commercial office identified.",
