contributor_name,entity_type,note
"PACHULSKI STANG ZIEHL & JONES",ORGANIZATION,"law firm — no LLC/INC/GROUP token so defaulted to COMMITTEE/PAC"
"IDEAL FASTENER",ORGANIZATION,"manufacturer — no business token"
"THE CORMAC GROUP",ORGANIZATION,"lobbying/consulting firm"
"THE PHONE CONSULTANTS",ORGANIZATION,"consulting firm"
"LEVELFIELD",COMMITTEE/PAC,"Hybrid PAC (Carey committee) FEC C00784140, treasurer Steven Lavine, 225 E 6th St #5H New York NY — donated to UDP; NOT the LevelField Financial firm"
"MANZANITA ACTION FUND",ORGANIZATION,"501(c)(4) social-welfare nonprofit (not a traditional PAC) — gave $1.6M to UDP; FUND token defaulted it to COMMITTEE/PAC"
"UNITED ASSOCIATION POLITICAL ISSUES FUND",ORGANIZATION,"Section 527 political org (EIN 52-2256674) of the UA plumbers/pipefitters union (501c5) — no FEC committee, reports to IRS via Form 8872; the UA federal PAC is a different name (C00012476)"
"NON FEDERAL POLITICAL EDUCATIONAL FUND OF THE BUILDING & CONSTRUCTION TRADES DEPT.",ORGANIZATION,"FEC labels it entity_type=ORG (contributor_id=null) — the explicitly NON-FEDERAL 501(c)(5) labor account, not an FEC committee; federal PAC is C00003160 (different name)"
"PIPEFITTERS LOCAL UNION 120",ORGANIZATION,"Cleveland OH building-trades labor union (501c5) — FEC entity_type=ORG, contributor_id=null, 'non-contribution account'; no FEC committee (Local 392 PAC C00242024 is a different local)"
"ROYAL OAK",ORGANIZATION,"Royal Oak LP — Los Angeles real-estate limited partnership (Reliable Properties, 6420 Wilshire Blvd); FEC entity_type=ORG, no FEC committee"
"WEINER MARC FOUNDATION",ORGANIZATION,"private foundation (committee occupation overrode FOUNDATION signal)"
"JPMORGAN CHASE BANK, N.A.",ORGANIZATION,"bank misparsed as INDIVIDUAL (N.A. became first_name)"
"FIRST CENTRAL SAVINGS BANK",ORGANIZATION,"First Central Savings Bank (FDIC) misparsed as INDIVIDUAL — filed as 'BANK, FIRST CENTRAL' (surname=BANK), renamed by _NAME_CORRECTIONS; verified 70 Glen St, Glen Cove NY 11542"
"WHITE LAKE REAL ESTATE CAPITAL LLC",ORGANIZATION,"White Lake Real Estate Capital LLC misparsed as INDIVIDUAL — filed as 'CAPITAL, WHITE' (surname=CAPITAL), renamed by _NAME_CORRECTIONS; verified Greenwich CT (founder Billy Jacobs)"
"WALDMAN",INDIVIDUAL,"bare-surname individual mistyped as COMMITTEE/PAC"
"NOT EMPLOYED",INDIVIDUAL,"filer put the employment status in the NAME field — a $500 Atlanta GA donor with occupation=employer=NOT EMPLOYED. The name is unrecoverable, but it is plainly a person, not a committee; leaving it COMMITTEE/PAC pollutes committee totals"
"FERRNCZ",INDIVIDUAL,"bare-surname individual mistyped as COMMITTEE/PAC"
"LISA LEHMAN TRUST",ORGANIZATION,"living trust misparsed as INDIVIDUAL — filed as 'LEHMAN TRUST, LISA' (surname=LEHMAN TRUST), renamed by _NAME_CORRECTIONS"
