hid,employer_name,final_verdict,reason,source_url
6,ADVANCE PACKAGING TECHNOLOGIES,premises,"Company's own contact page lists its location at 5720 Williams Lake Rd, Waterford (packaging manufacturer).",https://www.advancepac.com/contact/
9,AINI & ASSOCIATES PLLC,premises,Firm's own site gives 2615 Coney Island Ave as its New York office (commercial avenue); OCA registry matches.,https://www.ainilaw.com/
11,ALAN GRAHAM MOTORING,premises,"Dealer's own site lists 8618 Lindley Ave, Northridge with business hours as its showroom/shop.",https://www.alangraham.com/about-us
21,AMG PROPERTIES INC,premises,AMG's own site lists 614 West Friendly Ave as its Greensboro office.,https://www.amgworld.com/greensboro
22,AMROCK HOLDINGS,premises,"Amrock's contact page (archived) gives 662 Woodward Ave, Detroit (office tower) as its primary address.",https://web.archive.org/web/2025/https://www.amrock.com/contact
26,ARDMORE TOYOTA,premises,Dealership's own site lists sales/service/parts at 219 E Lancaster Ave.,https://www.ardmoretoyota.com/
28,ARONOV REALTY MANAGEMENT INC,premises,"Aronov's own contact page (archived) lists its office at 3500 Eastern Boulevard, Montgomery.",https://web.archive.org/web/2025/https://aronov.com/contact
29,ARTISTIC TILE INC,premises,Artistic Tile's site lists its slab gallery/warehouse/distribution center at 520 Secaucus Rd.,https://www.artistictile.com/pages/slab-gallery
33,ASSOCIATION MANAGEMENT GROUP INC,premises,AMG's own site lists 614 West Friendly Ave as its Greensboro office.,https://www.amgworld.com/greensboro
34,ATLANTIS CASINO RESORT & SPA,premises,"Casino resort's own contact page lists 3800 S Virginia St, Reno.",https://www.atlantiscasino.com/contact-us
36,AUERBACH REALTY HOLDINGS LLC,premises,"Company's contact page (archived) gives 2416 Wilshire Blvd, part of its 2410-2416 Wilshire commercial holdings.",https://web.archive.org/web/2025/https://www.auerbachrealty.com/contact-us
37,BABACO,premises,"Babaco's own site footer lists 497 Washington Ave, Carlstadt (industrial area).",https://babaco.com/
41,BLOOMBERG,premises,731 Lexington Ave is the Bloomberg Tower office skyscraper.,https://en.wikipedia.org/wiki/731_Lexington_Avenue
47,CANTOR INJURY LAW,premises,Firm's own site lists its St. Louis office at 12283 Olive Blvd.,https://www.cantorinjurylaw.com/about/office-locations/st-louis/
48,CBG REAL ESTATE,premises,"Company's own contact page lists 4629 Macro, San Antonio.",https://cbgcre.com/contact-us/
50,CERTIFIED FINANCIAL GROUP INC,premises,BBB profile (archived) lists the firm at 1111 Douglas Ave with weekday operating hours (office).,https://web.archive.org/web/2025/https://www.bbb.org/us/fl/altamonte-springs/profile/financial-planning-consultants/certified-financial-group-inc-0733-101828
53,CONGREGATION EMANU-EL,premises,"Congregation's own site gives its temple at 2 Lake Street, San Francisco.",https://web.archive.org/web/2025/https://www.emanuelsf.org/
54,CONSOLIDATED INVESTMENT GROUP,premises,"Company's own site footer lists 18 Inverness Place East, Englewood (office park).",https://www.ciginvest.com/
62,FLOWERS PROPERTIES LLC,premises,"Chamber member listing (archived) places this commercial real-estate firm at 864 Goodman Rd, a commercial arterial.",https://web.archive.org/web/2025/https://business.southavenchamber.com/list/member/flowers-properties-1744
72,GRT CORPORATION,premises,"Company's contact page lists 263 Tresser Blvd, One Stamford Plaza (office tower).",https://grtcorp.com/contact-us/
75,HILLWOOD,premises,"Hillwood's contact page lists 3000 Turtle Creek Blvd, Dallas.",https://www.hillwood.com/contact
79,ISLAND CAPITAL GROUP,premises,"Company's contact page lists 717 Fifth Avenue, New York.",https://www.islandcapital.com/contact/
81,JERICHO CAPITAL,premises,"Firm's site lists 510 Madison Avenue, 27th Floor, New York.",https://www.jerichocap.com/
82,JOHN HENRY HOMES,premises,Builder's own contact page lists 11025 Reed Hartman Hwy (office corridor).,https://www.johnhenryhomes.com/contact-us
83,KAP'S WHOLESALE FOODS,premises,Eastern Market directory lists the wholesaler at 1300 Maple St in the Detroit market district.,https://easternmarket.org/directory/kaps-wholesale-food-services-inc/
87,LANGSAM PROPERTY SERVICES,premises,Company's own site lists 1601 Bronxdale Avenue with office tel/fax.,https://www.langsampropertyservices.com/index.html
91,LEON KOROL CO,premises,"Company's own site lists 2050 E Devon Ave, Elk Grove Village (industrial).",https://www.leonkorol.com/about-us
112,PLYMOUTH BEEF,premises,Company's own site lists 355 Food Center Drive (Hunts Point food distribution center).,https://plymouthbeef.com/
116,REDWOOD APARTMENT LIVING,premises,Company announced purchase of a building at 7007 E Pleasant Valley Rd for its corporate HQ.,https://news.byredwood.com/redwood-living-inc-purchases-new-building-for-its-corporate-headquarters-in-independence-ohio/
118,ROBBINS FIRM,premises,"Firm's contact page lists 500 14th Street NW, Atlanta.",https://www.robbinsfirm.com/contact/
121,SANTA CLARITA STUDIOS CORP,premises,Studio's own site lists stages at 25135 Anza Drive in the Valencia Business Park.,https://www.sc-studios.com/
127,"SHUMAKER, LOOP & KENDRICK",premises,Firm's Toledo office page lists 1000 Jackson Street.,https://www.shumaker.com/offices/toledo-oh/
128,SIMONCRE,premises,"Company's contact page lists 6900 E 2nd Street, Scottsdale.",https://simoncre.com/contact-us/
131,STERLING FLOOR DESIGNS LTD,premises,"Company's contact page lists 82 Modular Ave, Commack (industrial).",https://sterlingfloordesigns.com/contact/
133,TEXAS IRON AND METAL,premises,"Steel dealer's own site lists its yard at 865 Lockwood Drive, Houston.",https://www.texasironandmetal.com/when-you-need-steel-dealers-you-can-count-on-visit-texas-iron-and-metal/
142,TWIN CITY FAN COMPANIES LTD,premises,Company's contact page lists 5959 Trenton Lane N (manufacturing HQ).,https://tcf.com/contact-us/
143,TWINCO INDUSTRIAL PRODUCTS,premises,"Company's contact page lists 5201 S Loop East, Houston.",https://www.twincoindustrial.com/contact
32,ASSESSMENT SOLUTIONS GROUP,home,"Only the firm's own contact page lists 215 Loch Lomond Way, a residential Danville street; no sign of an office building.",https://assessmentgroup.org/contact-us/
43,BRISTOL ASSOCIATES,home,"Only a directory listing (buzzfile) at 20 Morris Ln, a residential Scarsdale lane; no public premises shown.","https://www.buzzfile.com/business/Bristol-Associates,-Ltd.-914-472-6200"
55,CRESCENT REALTY ADVISORS,home,"Only a city tax-registration record at 4840 Andasol Ave, a residential Encino street; registry alone is not enough.",https://opengovus.com/los-angeles-business/0000966001-0001-4
39,BEST CARE NURSES REGISTRY INC,premises,"Nurse registry's own site lists 208 South 28th Ave as its licensed Hollywood (flagship) office, one of several offices.",https://bestcare.net/
86,KNISH SHOP,premises,Deli's own site lists its shop at 508 Reisterstown Road.,https://www.knishshop.com/
96,MADALUXE GROUP,premises,"Company's contact page (archived) gives its headquarters at 1760 Apollo Court, Seal Beach (business park).",https://web.archive.org/web/2025/https://www.madaluxegroup.com/contact
100,MINUTE MEN INC,premises,Staffing firm's Cleveland branch page (archived) gives 3740 Carnegie Ave in the Midtown district.,https://web.archive.org/web/2025/https://minutemenstaffing.com/locations/cleveland-ohio/
101,MONROE GROUP,premises,"Company's own site lists its office at 6875 East Evans Ave, Denver.",https://www.monroegroup.com/
85,KIDDESIGNS,premises,"eKids/KIDdesigns site (archived) lists 1299 Main Street, Rahway with office hours.",https://web.archive.org/web/2025/https://www.ekids.com/pages/contact
57,CSR PRIVACY SOLUTIONS,home,"Only the company's own site gives 830 NE Pop Tilton Place; nothing shows it is an office building rather than a residence, so not confident.",https://csrps.com/contact/
84,KAWESCH LAW GROUP,home,"Only the firm's own site gives 6 Garner Street, a small Newton Centre side street; nothing shows a commercial office there.",https://kaweschlaw.com/contact-us/
