rid,agree,reason,verdict,organisation,address,city,state,zip,source_name,source_url,note
556,no,Researcher's source is a generic ADP LLC directory page that never mentions TotalSource; nothing ties an LA business executive to ADP. 'Total Source' is a generic name used by many firms.,ambiguous,,,,,,,,"Candidates: ADP TotalSource (ADP PEO, based in Miami FL), plus several unrelated firms trading as Total Source; one LA donor with no further clue"
557,yes,"tradition.com NY page: 32 Old Slip, 28th Floor, New York NY 10005. The donors are in Houston (1333 West Loop South Ste 720) and Stamford (9 West Broad St), one each, so the US main office is a reasonable choice.",,,,,,,,,
558,yes,"opengovwa.com (WA SOS data): Trammo, Inc. registered business location 8 W 40th St Fl 12, New York NY 10018. The published address matches.",,,,,,,,,
560,yes,"trionproperties.com lists 201 S. Biscayne Blvd. Ste. 700, Miami FL 33131, which fits the Miami donor.",,,,,,,,,
562,yes,"ir.truist.com release confirms 214 N. Tryon St, Charlotte (Truist Center). The HQ is fine for an out-of-state executive.",,,,,,,,,
563,yes,"tsgconsumer.com/contact: 4 Star Point, Suite 203, Stamford CT 06902. The site lists no LA office, and Stamford fits the Westport CT donors.",,,,,,,,,
564,no,"corporate.tubitv.com/company/contact-us lists a New York office (1211 6th Ave, New York NY 10036) as well as SF, Chicago and LA. The researcher said there was no NY office. The donor is a NY salesperson, so the same-metro office applies.",corrected,"Tubi, Inc. (New York office)",1211 6th Ave,New York,NY,10036,Tubi corporate site - Our Locations,https://corporate.tubitv.com/company/contact-us/,"Published Universal City address is not a listed Tubi office; NY office fits the NY-based sales donor (HQ: 201 3rd Street, San Francisco CA 94103)"
566,yes,alignable.com shows US Search Legal LLC as a solo legal recruiter in Potomac MD with no office address. That matches the MD recruiter donors. The published Culver City address belongs to an unrelated background-check firm. home_based is reasonable.,,,,,,,,,
567,yes,"Uber 10-K cover: 1725 3rd Street, San Francisco CA 94158.",,,,,,,,,
569,no,"UCSF Benioff Children's Hospitals has an Oakland campus (747 52nd St, Oakland CA 94609) as well as Mission Bay. Both donor physicians live in the East Bay (Oakland, Lafayette), so the Oakland campus fits better than the SF one.",corrected,UCSF Benioff Children's Hospital Oakland,747 52nd St,Oakland,CA,94609,UCSF Benioff Children's Hospitals - Locations & Directions,https://www.ucsfbenioffchildrens.org/locations,"East Bay donors; Oakland campus is the same-metro site (SF Mission Bay campus: 550 16th St, San Francisco CA 94158)"
570,no,"UNH 10-K cover lists TWO principal executive offices: 1 Health Drive, Eden Prairie MN 55344 and 655 New York Avenue NW, Washington DC 20001. The donor is an executive in Silver Spring MD (DC metro), so the DC office fits better.",corrected,UnitedHealth Group Incorporated (Washington DC principal office),655 New York Avenue NW,Washington,DC,20001,UnitedHealth Group 10-K (FY2025) cover page,https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/unh-20251231.htm,10-K lists Eden Prairie MN and Washington DC as principal executive offices; DC-metro executive donor
571,yes,"UiPath 10-K cover: One Vanderbilt Avenue, 60th Floor, New York NY 10017.",,,,,,,,,
572,no,"The researcher's source (marylandmatters article) does not state 7901 Regents Dr. The address itself is right: provost.umd.edu/contact gives Main Administration Building, 7901 Regents Dr., College Park MD 20742.",corrected,"University of Maryland, College Park (Main Administration Building)",7901 Regents Dr,College Park,MD,20742,UMD Office of the Provost contact page,https://www.provost.umd.edu/contact,Main campus administration building address; published room-number-only form replaced
573,yes,"UNH 10-K cover: 1 Health Drive, Eden Prairie MN 55344. The HQ fits an out-of-state FL physician.",,,,,,,,,
574,yes,"Same UNH 10-K. Parent HQ for UnitedHealthcare, with an FL donor.",,,,,,,,,
575,no,"The donor is a faculty affairs specialist in North Charleston SC, but the researcher kept the West Virginia University of Charleston without addressing the SC namesakes. 'University of Charleston, South Carolina' is the College of Charleston's graduate-school name (66 George Street, Charleston SC 29424), and Charleston Southern University is in North Charleston itself.",ambiguous,,,,,,,,"Candidates: College of Charleston / University of Charleston, South Carolina (66 George St, Charleston SC 29424); University of Charleston (2300 MacCorkle Ave SE, Charleston WV 25304); Charleston Southern University (North Charleston SC)"
576,yes,"US Army as a whole, with donors on many bases in several states. generic_no_office.",,,,,,,,,
577,yes,The Air Force Reserve as a whole. A NY flight surgeon does not work at the Robins AFB command HQ. generic_no_office is consistent with how US ARMY was handled.,,,,,,,,,
578,yes,"USG = US Government here: attorney DC, engineer FL, professor GA. The prior check also flagged USG Corp as the wrong company.",,,,,,,,,
580,yes,"Wikipedia USIP article and HQ article infobox: 2301 Constitution Avenue NW, Washington DC. The published street (Pennsylvania Ave) is wrong.",,,,,,,,,
581,no,"Wrong namesake. The donor is a physician in Teaneck/Paramus NJ, so the employer is Valley Health System (NJ), not Valley Health in Winchester VA. valleyhealth.com: The Valley Hospital, 4 Valley Health Plaza, Paramus NJ 07652.",corrected,Valley Health System (The Valley Hospital),4 Valley Health Plaza,Paramus,NJ,07652,Valley Health System - The Valley Hospital location page,https://www.valleyhealth.com/locations/valley-hospital,NJ Valley Health System (hospital relocated from Ridgewood to Paramus); not the Winchester VA namesake
583,no,"I could not confirm the address. The researcher's traded.co source returns 403 and has no archive copy, and neither vastdata.com nor NY DOS open data states 240 W 37th St. The employer 'VAST' (a software developer in NJ) is also only assumed to be VAST Data.",not_found,"VAST Data, Inc. (assumed)",,,,,,,UNCHECKED: search budget - 240 W 37th St New York NY 10018 unverified; identity 'VAST' likely VAST Data (NYC) but not confirmed
587,yes,"vituity.com/contact-us: Headquarters 2100 Powell St, Suite 400, Emeryville CA 94608.",,,,,,,,,
588,yes,"wmllp.com/contact-us: One Dag Hammarskjold Plaza, 47th Floor, 885 Second Avenue, New York NY 10017.",,,,,,,,,
589,yes,"wallick.com/contact: Corporate Offices 160 West Main Street, Suite 200, New Albany OH 43054. The donors are out of state, so the HQ is fine.",,,,,,,,,
590,yes,"Walmart 10-K cover: 1 Customer Drive, Bentonville AR 72716.",,,,,,,,,
591,yes,wand.ai shows only a placeholder '123 Main Street' address. The only EDGAR hits are investor SPV Form Ds at a Claymont DE agent address. not_found is reasonable.,,,,,,,,,
592,yes,Single retired donor in IL with a generic name. ambiguous is reasonable.,,,,,,,,,
595,yes,"WW 10-K cover: 18 West 18th Street, 7th Floor, New York NY 10011.",,,,,,,,,
597,no,"A public office does exist. The Texas Comptroller franchise-tax registry (data.texas.gov) lists WellMed Medical Management, Inc. (active) at 8637 Fredericksburg Rd Ste 360, San Antonio TX 78240. WellMed Medical Management of Florida Inc uses the same address, which fits the FL physician.",corrected,"WellMed Medical Management, Inc.","8637 Fredericksburg Rd, Suite 360",San Antonio,TX,78240,Texas Comptroller active franchise tax permit holders (data.texas.gov),"https://data.texas.gov/resource/9cir-efmm.json?taxpayer_name=WELLMED%20MEDICAL%20MANAGEMENT,%20INC.",Registry mailing address of the active Texas corporation (Optum/UHG subsidiary); WellMed Medical Management of Florida Inc lists the same address; published Austin address unsupported
599,yes,"WFC 10-K cover: 333 Market Street, San Francisco CA 94105. I could not source a Private Bank NY office page (wellsfargo.com location pages return 404), so the HQ fallback is acceptable.",,,,,,,,,
601,no,"The researcher's source (Wikipedia) does not state 110 5th Ave, and that address is outdated. The WeWork Inc. EDGAR record (last filings June 2024) gives business and mailing address 12 East 49th Street, 3rd Floor, New York NY 10017.",corrected,WeWork Inc.,"12 East 49th Street, 3rd Floor",New York,NY,10017,"SEC EDGAR company record, WeWork Inc. (CIK 1813756)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001813756&type=&dateb=&owner=include&count=40,Latest official address on file (company went private/deregistered 2024)
602,no,"Wrong namesake. The employer is Wingate LIVING (senior living, 'real estate and healthcare'), not Wingate Companies at 100 Wells Ave. wingateliving.com lists Wingate Living, 57 Wells Ave, Suite 20, Newton MA 02459.",corrected,Wingate Living,"57 Wells Ave, Suite 20",Newton,MA,02459,Wingate Living official site (contact/footer),https://www.wingateliving.com/contact,Senior-living operator (real estate + healthcare) matches donor occupation; Wingate Companies (100 Wells Ave) is a different firm
610,yes,"No official site, and the EDGAR full-text hits are unrelated (Winthrop/Lexington 'WRP'). not_found is reasonable for a small LA firm with an AZ donor.",,,,,,,,,
612,yes,"The wysh.com footer states 720 E. Wisconsin Avenue, Milwaukee WI 53202.",,,,,,,,,
613,yes,A Melrose MA fundraiser could work for the Melrose Family YMCA or a regional association. ambiguous is reasonable.,,,,,,,,,
614,yes,"yorkproperties.com/contact: 2108 Clark Ave, Raleigh NC 27605. This is a weak match for an MI donor, but I found no better candidate.",,,,,,,,,
616,yes,"Zeta 10-K cover: 3 Park Ave, 33rd Floor, New York NY 10016.",,,,,,,,,
